lake_ID,wind_worldclim,,
0,2.358,,
1,2.142,,
2,2.000,,
3,1.200,,
4,1.583,,
5,2.450,,
6,2.492,,
7,2.175,,
8,1.375,,
9,1.900,,
10,1.583,,
11,1.933,,
12,1.183,,
13,2.283,,
14,2.850,,
15,1.225,,
16,1.100,,
17,1.083,,
18,1.008,,
19,1.017,,
20,2.033,,
21,1.442,,
22,1.133,,
23,1.775,,
24,1.767,,
25,1.592,,
26,2.325,,
27,2.117,,
28,1.858,,
29,2.475,,
30,2.550,,
31,3.033,,
32,1.308,,
33,1.933,,
34,2.050,,
35,2.225,,
36,2.008,,
37,3.392,,
38,2.183,,
39,2.992,,
40,2.025,,
41,1.983,,
42,1.325,,
43,1.758,,
44,2.008,,
45,1.350,,
46,1.950,,
47,1.725,,
48,1.908,,
49,2.108,,
50,1.033,,
51,2.933,,
52,2.417,,
53,2.058,,
54,3.008,,
55,1.483,,
56,1.125,,
57,1.125,,
59,1.117,,
60,0.967,,
61,1.300,,
62,2.258,,
63,1.775,,
64,2.242,,
65,1.550,,
66,2.367,,
67,1.183,,
68,2.567,,
69,2.333,,
70,1.867,,
71,2.083,,
72,1.792,,
74,1.167,,
75,2.117,,
76,2.375,,
77,2.175,,
78,1.283,,
79,2.192,,
80,2.492,,
81,1.950,,
82,2.175,,
83,1.692,,
84,2.017,,
85,2.208,,
86,2.008,,
87,1.633,,
88,2.425,,
89,1.775,,
90,2.008,,
91,1.617,,
92,1.758,,
93,1.933,,
94,1.917,,
95,1.925,,
96,1.975,,
97,1.308,,
98,1.983,,
99,1.967,,
100,1.733,,
101,1.975,,
102,1.975,,
103,2.383,,
104,2.008,,
105,0.958,,
106,2.675,,
107,2.608,,
108,2.575,,
109,2.250,,
110,2.350,,
111,1.092,,
112,1.092,,
113,1.100,,
114,1.017,,
115,1.017,,
116,2.883,,
117,2.808,,
118,2.017,,
119,1.450,,
120,1.317,,
121,1.692,,
122,3.267,,
123,2.617,,
124,2.575,,
125,2.600,,
126,2.567,,
127,2.483,,
128,2.525,,
129,1.942,,
130,1.958,,
131,2.142,,
132,3.283,,
133,2.200,,
134,1.225,,
135,1.325,,
136,1.275,,
137,2.400,,
138,1.258,,
139,3.317,,
140,1.417,,
141,1.492,,
142,2.808,,
143,2.358,,
144,2.017,,
145,1.767,,
146,2.400,,
147,2.350,,
148,1.858,,
149,2.850,,
150,2.783,,
151,2.850,,
152,2.308,,
153,2.250,,
154,2.000,,
155,2.083,,
156,2.333,,
157,2.283,,
158,1.900,,
159,2.533,,
160,1.675,,
161,3.392,,
162,1.417,,
163,2.025,,
164,2.250,,
165,2.267,,
166,1.875,,
167,1.967,,
168,1.067,,
169,2.117,,
170,2.033,,
171,1.875,,
172,1.825,,
173,1.775,,
174,1.858,,
175,3.025,,
176,2.550,,
177,1.108,,
178,1.183,,
179,1.042,,
180,1.942,,
181,1.458,,
182,1.125,,
184,2.542,,
185,2.792,,
186,2.817,,
187,2.833,,
188,1.325,,
189,1.325,,
190,1.300,,
191,2.033,,
192,1.300,,
193,1.917,,
194,2.808,,
195,2.150,,
196,2.083,,
197,3.817,,
198,2.233,,
199,2.533,,
200,2.858,,
201,1.658,,
202,1.708,,
203,2.075,,
204,2.075,,
205,1.892,,
206,1.958,,
207,2.033,,
208,2.058,,
209,2.058,,
210,2.067,,
211,2.033,,
212,1.950,,
213,2.308,,
214,1.925,,
215,2.508,,
216,3.392,,
217,3.442,,
221,2.925,,
234,2.392,,
240,2.617,,
244,4.667,,
245,3.892,,
249,3.367,,
250,3.100,,
252,3.183,,
255,2.067,,
256,3.242,,
257,1.758,,
258,2.867,,
259,3.050,,
261,3.825,,
264,2.283,,
265,1.633,,
266,2.358,,
268,2.408,,
269,2.775,,
271,2.475,,
273,2.067,,
277,1.942,,
278,4.192,,
279,3.467,,
280,1.675,,
281,1.225,,
282,2.242,,
283,1.908,,
286,1.683,,
288,1.517,,
289,1.367,,
291,2.450,,
292,1.867,,
293,1.508,,
294,1.517,,
295,1.383,,
297,1.850,,
298,1.633,,
299,1.283,,
300,1.600,,
301,1.308,,
302,1.175,,
303,1.492,,
308,1.567,,
314,1.708,,
325,1.467,,
390,1.317,,
395,1.333,,
423,2.550,,
424,2.100,,
426,2.017,,
429,2.225,,
430,2.158,,
431,2.917,,
432,5.025,,
439,2.758,,
446,5.067,,
450,2.017,,
451,2.808,,
453,1.358,,
456,2.875,,
465,1.300,,
470,1.375,,
480,1.242,,
481,1.275,,
495,3.117,,
496,2.875,,
508,2.600,,
800,1.208,,
801,1.325,,
802,1.225,,
804,1.225,,
805,1.200,,
850,3.042,,
851,1.858,,
852,2.400,,
853,3.833,,
854,4.158,,
855,3.392,,
856,3.283,,
857,3.733,,
858,3.558,,
859,3.633,,
860,3.083,,
861,3.358,,
862,3.333,,
863,2.483,,
864,3.200,,
865,3.200,,
866,2.783,,
867,2.058,,
1001,3.725,,
1002,3.758,,
1003,3.733,,
1004,2.325,,
1005,2.317,,
1006,1.300,,
1007,2.292,,
1008,2.250,,
1009,2.667,,
1010,2.225,,
1011,2.225,,
1012,2.217,,
1013,2.217,,
1014,2.275,,
1015,2.217,,
1016,2.217,,
1017,2.217,,
1018,2.217,,
1019,2.225,,
1020,2.225,,
1021,2.225,,
1022,2.225,,
1023,2.225,,
1024,2.225,,
1025,2.125,,
1026,2.217,,
1027,2.125,,
1028,2.225,,
1029,2.117,,
1030,2.117,,
1031,2.117,,
1032,2.608,,
1033,2.225,,
1034,2.200,,
1035,2.225,,
1036,2.225,,
1037,1.992,,
1038,1.967,,
1039,1.558,,
1040,1.550,,
1041,2.858,,
1042,3.017,,
1043,2.008,,
1044,2.233,,
1045,2.858,,
1046,0.900,,
1047,1.983,,
1048,1.042,,
1049,1.108,,
1050,1.117,,
1051,1.117,,
1052,1.117,,
1053,1.108,,
1054,1.108,,
1055,1.108,,
1056,1.117,,
1057,1.117,,
1058,1.117,,
1059,1.108,,
1060,1.117,,
1061,1.117,,
1062,1.117,,
1063,1.117,,
1064,1.117,,
1065,1.117,,
1066,1.117,,
1067,1.208,,
1068,1.100,,
1069,1.200,,
1070,1.100,,
1071,1.100,,
1072,1.100,,
1073,1.100,,
1074,1.100,,
1075,1.100,,
1076,1.100,,
1077,1.100,,
1078,1.100,,
1079,1.100,,
1080,1.100,,
1081,1.133,,
1082,1.217,,
1083,1.100,,
1084,1.100,,
1085,1.100,,
1086,1.100,,
1087,1.117,,
1088,1.225,,
1089,1.225,,
1090,1.225,,
1091,1.225,,
1092,1.225,,
1093,1.233,,
1094,1.233,,
1095,1.233,,
1096,1.242,,
1097,1.325,,
1098,0.842,,
1099,1.267,,
1100,0.825,,
1101,1.325,,
1102,1.325,,
1103,1.125,,
1104,1.342,,
1105,1.325,,
1106,1.325,,
1107,1.317,,
1108,1.325,,
1109,1.333,,
1110,1.317,,
1111,1.333,,
1112,1.342,,
1113,1.325,,
1114,1.325,,
1115,1.100,,
1116,1.067,,
1117,1.067,,
1118,3.842,,
1119,3.825,,
1120,3.633,,
1121,2.092,,
1122,1.033,,
1123,1.075,,
1124,2.525,,
1125,2.442,,
1126,1.658,,
1127,1.575,,
1128,2.867,,
1129,2.733,,
1130,2.825,,
1131,2.842,,
1132,2.575,,
1133,2.483,,
1134,2.433,,
1135,3.533,,
1136,2.183,,
1137,1.900,,
1138,1.917,,
1139,1.917,,
1140,1.783,,
1141,2.075,,
1142,2.250,,
1143,2.292,,
1144,2.508,,
1145,2.575,,
1146,2.550,,
1147,1.700,,
1148,1.492,,
1149,2.117,,
1150,1.942,,
1151,2.175,,
1152,1.567,,
1153,2.808,,
1154,2.267,,
1155,5.400,,
1156,5.533,,
1157,2.542,,
1158,3.475,,
1159,4.567,,
1160,4.800,,
1161,4.983,,
1162,4.950,,
1163,4.950,,
1164,4.950,,
1165,1.150,,
1166,3.167,,
1167,3.700,,
1168,3.808,,
1169,3.008,,
1170,1.692,,
1171,2.817,,
1172,2.817,,
1173,2.892,,
1174,1.950,,
1175,1.917,,
1176,1.933,,
1177,1.967,,
1178,1.483,,
1179,1.300,,
1180,1.342,,
1181,1.350,,
1182,2.258,,
1183,1.325,,
1184,1.350,,
1185,1.550,,
1186,1.358,,
1187,1.433,,
1188,1.342,,
1189,1.358,,
1190,1.358,,
1191,1.367,,
1192,1.308,,
1193,1.367,,
1194,1.367,,
1195,1.367,,
1196,1.375,,
1197,1.367,,
1198,1.383,,
1199,1.275,,
1200,1.400,,
1201,1.375,,
1202,1.342,,
1203,1.317,,
1204,3.033,,
1205,1.325,,
1206,1.300,,
1207,3.433,,
1208,3.317,,
1209,3.450,,
1210,3.867,,
1211,3.850,,
1212,3.675,,
1213,3.892,,
1214,1.283,,
1215,1.175,,
1216,1.258,,
1217,1.900,,
1218,1.892,,
1219,1.933,,
1220,1.933,,
1221,1.933,,
1222,1.908,,
1223,1.908,,
1224,1.908,,
1225,1.908,,
1226,1.383,,
1227,2.583,,
1228,2.575,,
1229,2.550,,
1230,2.567,,
1231,2.550,,
1232,2.558,,
1233,2.533,,
1234,2.642,,
1235,2.533,,
1236,2.483,,